id,age_at_entry,entry_cohort_year,prior_career_years,diocesan_or_order,region,conscientiousness_score,internal_locus_of_control,introspection_level,compliance_score,willingness_to_self_edit,conscience_conflict_events,initial_evaluation_score,year1_advancement,year2_advancement,leadership_flag,year_of_exit,ordination_outcome,exit_reason_category,profile_cluster
1,29,2017,7,diocesan,West,4,4,3,3,5,1,4,1,1,1,,1,,early_compliant_survivor
2,24,2022,2,diocesan,Midwest,5,4,3,3,4,0,4,1,1,1,,1,,early_compliant_survivor
3,25,2021,3,diocesan,Northeast,5,3,4,4,4,1,5,1,1,1,3,0,2,early_compliant_survivor
4,23,2023,1,diocesan,West,2,1,3,3,3,1,3,0,0,0,2,0,5,early_exit_discerner
5,26,2020,4,diocesan,Midwest,4,3,3,3,4,1,4,1,1,1,,1,,early_compliant_survivor
6,27,2019,5,diocesan,Northeast,5,4,4,3,4,1,5,1,0,1,2,0,3,early_compliant_survivor
7,29,2017,7,diocesan,West,5,3,4,4,4,2,5,1,1,1,3,0,2,early_compliant_survivor
8,29,2017,7,diocesan,Midwest,4,4,4,4,5,2,4,1,1,1,3,0,2,early_compliant_survivor
9,26,2020,4,diocesan,Midwest,4,4,4,3,5,1,4,1,0,1,2,0,3,early_compliant_survivor
10,29,2017,7,diocesan,West,4,4,3,4,4,1,4,1,1,1,,1,,early_compliant_survivor
11,26,2020,4,diocesan,Midwest,4,4,3,3,4,1,4,1,1,1,,1,,early_compliant_survivor
12,29,2017,7,diocesan,South,5,3,3,3,5,1,4,1,1,1,,1,,early_compliant_survivor
13,27,2019,5,diocesan,West,5,4,4,3,5,2,5,1,1,1,3,0,2,early_compliant_survivor
14,28,2018,6,diocesan,South,4,3,3,4,5,1,4,1,1,1,,1,,early_compliant_survivor
15,25,2021,3,diocesan,West,5,4,3,4,5,1,4,1,1,1,,1,,early_compliant_survivor
16,29,2017,7,diocesan,South,4,4,3,4,5,1,4,1,1,1,,1,,early_compliant_survivor
17,24,2022,2,diocesan,West,5,4,3,3,5,0,4,1,1,1,,1,,early_compliant_survivor
18,24,2022,2,diocesan,Midwest,5,3,4,4,4,2,5,1,1,1,3,0,3,early_compliant_survivor
19,29,2017,7,diocesan,Midwest,4,3,4,3,5,2,4,1,1,1,3,0,2,early_compliant_survivor
20,39,2007,17,religious,South,4,3,2,5,4,0,3,1,1,0,,1,,institutional_careerist
21,24,2022,2,diocesan,Midwest,4,3,4,4,5,2,4,1,0,1,2,0,3,early_compliant_survivor
22,29,2017,7,diocesan,Midwest,4,4,3,4,4,1,4,1,1,1,,1,,early_compliant_survivor
23,26,2020,4,diocesan,West,4,3,3,4,5,0,4,1,1,1,,1,,early_compliant_survivor
24,29,2017,7,diocesan,West,5,3,3,4,4,1,4,1,1,1,,1,,early_compliant_survivor
25,26,2020,4,diocesan,West,4,4,4,4,4,1,4,1,1,1,3,0,2,early_compliant_survivor
26,34,2012,12,diocesan,Northeast,4,4,5,1,2,4,5,1,1,1,3,0,4,late_integrated_attriter
27,26,2020,4,diocesan,Midwest,5,4,4,4,4,1,5,1,0,1,2,0,2,early_compliant_survivor
28,34,2012,12,religious,West,4,2,1,5,5,1,3,1,1,0,,1,,institutional_careerist
29,26,2020,4,diocesan,Midwest,5,4,4,3,5,2,5,1,0,1,2,0,3,early_compliant_survivor
30,29,2017,7,diocesan,Midwest,5,4,3,3,5,0,4,1,1,1,,1,,early_compliant_survivor
31,32,2014,10,diocesan,Northeast,4,5,4,1,2,3,4,1,1,1,6,0,4,late_integrated_attriter
32,25,2021,3,diocesan,Northeast,5,3,4,4,5,1,5,1,1,1,3,0,2,early_compliant_survivor
33,25,2021,3,diocesan,West,5,4,4,4,4,2,5,1,1,1,3,0,2,early_compliant_survivor
34,28,2018,6,diocesan,Northeast,5,4,3,4,4,1,4,1,1,1,,1,,early_compliant_survivor
35,32,2014,10,religious,Northeast,5,3,1,5,4,0,3,1,1,0,,1,,institutional_careerist
36,25,2021,3,diocesan,West,4,4,3,4,5,1,4,1,1,1,,1,,early_compliant_survivor
37,37,2009,15,religious,West,5,3,1,5,4,0,3,1,1,0,,1,,institutional_careerist
38,25,2021,3,diocesan,Midwest,4,4,3,4,4,1,4,1,1,1,,1,,early_compliant_survivor
39,34,2012,12,religious,Northeast,4,3,1,4,5,1,3,1,1,0,,1,,institutional_careerist
40,23,2023,1,diocesan,West,4,4,3,4,4,0,4,1,1,1,,1,,early_compliant_survivor
41,29,2017,7,diocesan,West,4,3,4,4,4,2,4,1,0,1,2,0,2,early_compliant_survivor
42,32,2014,10,religious,West,4,3,1,4,5,1,3,1,1,0,,1,,institutional_careerist
43,27,2019,5,diocesan,West,5,3,3,4,4,0,4,1,1,1,,1,,early_compliant_survivor
44,38,2008,16,diocesan,West,3,5,5,2,2,4,4,1,1,1,3,0,3,late_integrated_attriter
45,34,2012,12,religious,Midwest,4,2,2,4,4,0,3,1,1,0,,1,,institutional_careerist
46,26,2020,4,diocesan,Midwest,2,2,3,3,3,1,3,0,0,0,2,0,5,early_exit_discerner
47,28,2018,6,diocesan,South,5,3,3,3,4,1,4,1,1,1,,1,,early_compliant_survivor
48,43,2003,21,religious,South,4,3,1,5,5,1,3,1,1,0,,1,,institutional_careerist
49,35,2011,13,religious,West,4,2,2,5,5,0,3,1,1,0,,1,,institutional_careerist
50,28,2018,6,diocesan,Midwest,4,4,4,4,5,1,4,1,0,1,2,0,3,early_compliant_survivor
51,25,2021,3,diocesan,West,3,1,2,3,2,2,3,0,0,0,1,0,1,early_exit_discerner
52,29,2017,7,diocesan,Northeast,5,4,3,3,5,1,4,1,1,1,,1,,early_compliant_survivor
53,29,2017,7,diocesan,West,5,3,3,4,4,0,4,1,1,1,,1,,early_compliant_survivor
54,24,2022,2,diocesan,Northeast,4,4,3,3,5,0,4,1,1,1,,1,,early_compliant_survivor
